ax,ay,az,gx,gy,gz
-5.4078,-0.8375,14.9504,-1619.3722,95.4187,424.9222
-5.4221,-2.053,14.2182,-1713.418,-143.4713,451.0078
-5.4078,-4.4507,13.7827,-1681.8405,-89.927,493.5687
-6.5228,-7.212,14.3521,-1740.8766,-137.2931,423.5492
-6.8387,-10.0881,14.132,-1581.6166,-479.8394,48.739
-6.5468,-10.0068,12.5767,-1142.9651,-853.9631,-196.3291
-5.0393,-6.4606,8.059,-830.6232,-883.4811,-341.8598
-4.3406,-2.5842,5.4891,-795.6135,-499.7469,-232.7118
-5.7763,-2.3641,10.4471,-553.2912,-435.2191,-105.0292
-6.1496,-6.4415,13.8832,-281.4509,-937.7119,-300.6719
-4.934,-7.2072,10.2796,83.0623,-1328.9973,-794.2406
-5.0824,-10.0355,9.4086,-100.224,-1488.2572,-1029.6982
-6.2309,-14.2708,10.6911,-700.1948,-1576.1249,-1726.4608
-7.5565,-21.4253,9.2794,-626.743,-1686.6459,-2353.8901
-6.9918,-19.0708,4.3741,383.7342,-1508.8512,-2957.98
-6.5372,-16.8024,1.2682,1137.4734,-1259.6642,-3047.9067
-7.0158,-14.2852,-3.2255,1275.4529,-1127.8629,-3353.384
-8.4323,-13.6534,-6.9296,1648.2037,-624.6836,-3669.8447
-9.4181,-8.2457,-14.4718,2019.5815,135.9202,-3951.2957
-12.2848,-4.5942,-17.1518,2512.4639,767.4684,-4154.4893
-15.2949,0.8183,-16.1707,2207.6731,1160.8132,-4232.0596
-15.3476,9.3559,-18.1232,2104.7031,1823.2523,-4671.3979
-13.4859,24.8758,-12.2752,1074.3186,2116.373,-3875.7842
-12.481,24.3637,-8.2552,641.1588,2216.5972,-3267.5759
-10.3514,20.3916,-4.0104,105.7157,2007.9116,-2715.6577
-7.9777,16.2329,-12.2513,-826.5045,1983.8854,-2319.5669
-8.5567,23.7416,-19.7839,-1962.605,4024.0608,-1199.2552
-15.4959,23.0333,-3.1059,-2691.6313,5239.1045,92.6728
-24.5456,14.7302,16.5392,-1681.8405,4882.1426,1152.5756
-20.8176,11.8588,21.8895,-1482.0791,2773.3206,341.8598
-17.1087,19.1569,5.7858,-2945.6235,2928.4619,1039.9952
-21.4971,19.0038,1.2921,-4370.7261,4012.3909,2603.7637
-31.5518,6.6616,27.1538,-3262.7705,2568.0674,3141.9529
-30.8339,1.3543,32.1165,-3008.0918,-39.815,2946.3101
-27.0724,-6.2644,21.2004,-2630.5356,-1858.9486,1776.5728
-18.0132,-1.0481,7.7001,-3030.0588,-1946.8163,1168.3643
-18.2764,4.2353,7.6953,-3076.7383,-1007.0449,2123.2378
-22.6887,0.7801,26.6321,-3130.283,-1972.9019,2686.1396
-25.6989,-2.3258,23.8277,-4092.0208,-3745.356,2582.4832
-25.2491,-6.0826,6.2357,-3115.1804,-4811.437,1211.6117
-15.74,-6.6185,-0.6078,-1457.3663,-4490.1709,148.963
-9.0449,-5.9677,0.2584,-2119.8054,-3614.2407,497.6875
-7.5565,-6.6329,6.6329,-2488.4375,-2647.0112,625.3701
-10.3753,-6.2548,9.8393,-2461.6653,-2526.1931,584.1821
-11.878,-12.524,8.193,-1496.4949,-2697.123,-260.1704
-8.2935,-11.5095,2.3785,-917.8044,-2395.0781,-859.4548
-5.8146,-14.1703,0.3781,-479.8394,-1863.7539,-1009.7908
-7.346,-14.601,4.9436,-790.8083,-1132.6681,-1627.6097
-9.3368,-8.595,7.7432,-794.9271,-1001.5532,-1828.0577
-9.6957,-5.0249,7.7049,-414.6252,-1321.4462,-1917.9846
-7.4608,-4.1827,0.4403,206.6261,-1223.2815,-2169.9175
-4.0008,-3.6371,-2.5938,219.669,-810.0293,-2485.0051
-3.7328,-8.0112,-6.6568,-9.6105,-320.5794,-2815.1951
-4.2592,-6.0586,-6.5085,-61.7819,492.1958,-3295.0344
-6.0873,-0.2489,-5.2355,80.3165,912.9991,-3456.354
-4.9149,3.1298,-5.6949,728.3399,1147.7704,-3551.0859
-4.3454,4.9771,-7.7862,809.3428,1644.0848,-3428.8953
-5.5322,7.2407,-5.6375,634.2941,2009.9711,-3289.5427
-5.2977,14.4766,-0.4834,736.5775,1998.9875,-2819.3137
-2.522,12.7155,1.718,1048.9193,1712.7314,-2471.2759
-3.4505,10.1408,-6.2644,772.2737,1770.3945,-2670.3508
-2.9815,12.792,-10.3992,542.3077,2485.0051,-2660.7405
-3.7615,22.5691,-6.006,241.6358,3125.4773,-2133.5347
-5.6806,26.5364,-3.6897,-627.4294,3686.3198,-1042.7411
-11.1362,19.3866,3.1298,-186.7186,3907.3618,3.4323
-13.0983,10.5667,8.1787,-30.2045,3671.2175,-349.4109
-13.0457,18.6209,7.8676,-1412.0596,3506.4658,-214.8637
-15.1801,30.2357,4.0917,-2922.9702,3991.7969,1379.1093
-20.4203,19.2287,5.7141,-3160.4873,4448.9829,2962.7852
-27.7663,-3.3882,31.5709,-749.6204,2801.4658,2150.01
-19.267,6.853,26.2493,-1583.676,65.2142,868.3789
-16.8215,18.8172,10.3609,-2982.6926,-48.0526,1623.491
-17.2188,15.8692,9.0592,-3630.0295,-105.7157,2703.9878
-20.0854,6.8674,12.0838,-3811.9429,-524.4597,3575.1123
-21.5163,-8.2935,15.8644,-3232.5662,-995.375,3373.2917
-18.7406,-11.0453,15.7113,-3200.3022,-1907.6876,1681.8405
-16.6493,-5.269,11.2271,-2763.0237,-1860.3215,1103.8365
-15.1801,-3.5366,12.591,-2495.9885,-2077.2446,884.8541
-14.2469,-4.6995,15.7065,-2537.1765,-2511.7773,818.2669
-13.9119,-7.1593,13.5721,-2382.0352,-2808.3303,414.6252
-12.6485,-8.26,8.6572,-2394.3918,-2862.561,-45.3067
-9.0544,-7.456,4.5081,-1799.2261,-2298.2866,-654.2016
-6.0826,-2.9575,7.0923,-1404.5084,-1894.6448,-507.9845
-5.6949,-5.0345,6.8818,-1148.4568,-1769.0216,-368.632
-6.2309,-8.8965,8.6381,-1130.6088,-1637.2202,-652.8287
-5.872,-7.0923,7.9298,-1081.1832,-1678.4081,-986.4509
-4.5224,-7.3938,4.934,-896.5239,-1607.7023,-1149.1433
-2.7039,-7.7001,2.6321,-694.0166,-1314.5815,-1329.6837
-2.2205,-7.8054,0.4403,-606.8355,-884.1676,-1606.3293
-2.2923,-7.6475,2.12,-530.6378,-492.1958,-1768.3352
-2.8618,-6.6042,3.5079,-441.3973,-255.3652,-2066.9478
-2.4263,-3.5797,2.8092,-68.6466,-302.7313,-2138.3401
-2.5125,-6.8483,-0.8758,505.9251,-269.7809,-2358.009
-1.852,-5.6566,-2.948,647.337,19.221,-2866.6799
-1.2969,-0.3254,-2.4503,540.2484,483.9582,-2960.0393
-1.34,2.6369,-1.876,799.7324,807.2834,-2757.532
-2.1296,-0.2489,-4.6181,1228.7733,998.8073,-2939.4453
-2.1966,3.0532,-5.8481,1064.708,1311.149,-3215.4045
-2.4694,13.8497,-1.9573,722.8481,1815.7012,-2878.3501
-2.68,16.9555,6.5563,898.5833,1721.6555,-2079.304
-2.7326,9.5186,6.9488,985.7645,1147.0839,-1663.9923
-1.0337,7.0062,-1.4261,728.3399,1037.2494,-2220.0295
-0.5408,11.1075,-7.9681,203.1938,1904.2552,-2014.0898
-3.4552,10.3848,-2.7039,564.9611,2608.5688,-1643.3984
-6.0395,9.3272,2.546,859.4548,2682.0208,-1599.4647
-7.3986,12.2178,5.8528,586.928,2592.7803,-1635.8473
-6.944,20.8128,5.7141,-161.3194,2543.3547,-1179.3478
-6.4702,26.9575,7.9968,-636.3535,2523.4473,-67.2736
-8.1643,22.6122,12.2752,-812.7751,2317.5076,1399.0167
-9.8058,11.1075,18.6305,-858.0819,1546.6068,1877.4832
-9.6431,11.1745,17.5777,-1837.6682,764.7226,1755.9788
-9.131,14.9169,8.5663,-2522.7607,788.0624,2249.5474
-11.3276,15.3045,11.0405,-2174.7227,1141.5922,3490.6772
-15.5294,-15.4528,29.001,-816.894,-286.2561,2399.8835
-8.1404,-7.8963,15.5916,-1261.0371,-1674.9758,889.6593
-2.7182,14.7876,5.872,-1385.9739,-1105.2095,1424.4159
-3.7902,9.7866,11.3228,-597.225,-709.8053,2701.9282
-4.4172,-2.0435,10.337,-1355.0829,-778.4518,2548.1599
-4.4937,-5.4126,9.8584,-1996.9282,-596.5386,1678.4081
-2.7948,0.3829,12.2656,-1524.6399,-568.3934,1219.1627
-1.6319,3.9864,13.8114,-648.0234,-841.6067,1539.7421
-2.455,-4.9053,8.7482,-558.7829,-722.8481,1421.67
-2.4359,-9.2985,6.0491,-472.9747,-113.9533,723.5346
-2.4885,-5.0967,10.1073,-471.6018,221.0419,259.4839
-3.1394,0.5838,12.3613,-113.9533,99.5375,230.6524
-2.7996,2.1535,11.1553,174.3622,-142.0984,577.3175
-2.991,-3.7089,7.6283,238.2035,-73.4518,424.9222
-2.4407,-3.3117,6.8578,149.6495,310.9689,119.445
-2.3258,-2.1535,9.5904,11.6699,461.9913,2.0594
-1.9143,0.9906,11.8301,-41.8744,203.1938,61.0954
-1.6654,1.5984,10.7773,-15.7887,-43.9338,222.4148
-1.3831,-0.4546,8.26,-89.927,-61.0954,76.1977
-1.1103,-0.4642,7.7097,-192.2103,91.9864,-78.2571
-0.8806,0.9619,8.9396,-251.2464,164.7517,-75.5112
-1.0816,1.4692,9.8919,-315.7741,105.7157,40.5015
-1.5697,0.4116,9.8824,-311.6553,51.4849,88.554
-1.2299,-0.6413,9.4995,-188.778,7.5511,7.5511
-0.3829,-0.4307,9.1789,-81.6894,15.1022,-58.3496
0.0383,0.1914,8.9061,7.5511,72.0789,-59.7225
